INDEX,UTM_X,UTM_Y,LON,LAT
0,250205.4987963854800,3688246.1940414658800,126.3171344279833,33.30439972
1,250205.6138305174820,3688246.0334769557200,126.3171357064899,33.3043983
2,250205.7382710126110,3688245.8872116231400,126.3171370821187,33.30439701
3,250205.8531911515160,3688245.7320763524600,126.3171383580247,33.30439564
4,250205.9633884400820,3688245.5733540086100,126.3171395843034,33.30439424
5,250206.0866833766920,3688245.4213749254100,126.3171409491313,33.3043929
6,250206.1975851020830,3688245.2603611471100,126.3171421836707,33.30439147
7,250206.3134537118600,3688245.1018245765000,126.3171434706375,33.30439007
8,250206.4281707126060,3688244.9407720435400,126.3171447460316,33.30438865
9,250206.5424688032940,3688244.7775269448800,126.3171460175625,33.3043872
10,250206.6512176899120,3688244.6158588160800,126.3171472290589,33.30438577
11,250206.7640074547380,3688244.4571334528800,126.3171484832249,33.30438437
12,250206.8858614976340,3688244.3024037974000,126.3171498333330,33.304383
13,250207.0038062613160,3688244.1431055888600,126.3171511428573,33.30438159
14,250207.1202155670030,3688243.9870137032100,126.3171524350499,33.30438021
15,250207.2432708173580,3688243.8346239728900,126.3171537974497,33.30437887
16,250207.3537291059320,3688243.6771719367300,126.3171550261851,33.30437748
17,250207.4645277042290,3688243.5158884185400,126.3171562595727,33.30437605
18,250207.5868516143520,3688243.3630021866400,126.3171576142421,33.3043747
19,250207.6972363498640,3688243.1984319179300,126.3171588441852,33.30437324
20,250207.8163849605180,3688243.0391005063400,126.3171601666670,33.30437183
21,250207.9295165717480,3688242.8938936502700,126.3171614206708,33.30437055
22,250208.0440113437360,3688242.7360363970500,126.3171626927794,33.30436916
23,250208.1650436306660,3688242.5835391748700,126.3171640335279,33.30436781
24,250208.2765575867370,3688242.4222586443700,126.3171652746712,33.30436638
25,250208.3984207876200,3688242.2704284801200,126.3171666241521,33.30436504
26,250208.5229786596020,3688242.1140972888100,126.3171680038231,33.30436366
27,250208.6376963252840,3688241.9701164416100,126.3171692744990,33.30436239
28,250208.7601233092420,3688241.8164597218900,126.3171706305679,33.30436104
29,250208.8694216841830,3688241.6500360206700,126.3171718491915,33.30435956
30,250208.9956018415970,3688241.5006699995200,126.3171732444362,33.30435825
31,250209.1183291559860,3688241.3489360953700,126.3171746031748,33.30435691
32,250209.2288821317190,3688241.1899606087300,126.3171758333330,33.3043555
33,250209.3475473590950,3688241.0410252567400,126.3171771477339,33.30435419
34,250209.4709308652960,3688240.8861680547700,126.3171785143973,33.30435282
35,250209.5963471712890,3688240.7316464367300,126.3171799026065,33.30435146
36,250209.6996331096160,3688240.5630721184400,126.3171810579309,33.30434996
37,250209.8302788749860,3688240.4160719565100,126.3171825000000,33.30434867
38,250209.9524916386290,3688240.2611859557200,126.3171838540607,33.3043473
39,250210.0776955492620,3688240.1220617666900,126.3171852360086,33.30434608
40,250210.2116117595870,3688239.9756308887200,126.3171867133140,33.30434479
41,250210.3374213495110,3688239.8216573847500,126.3171881057952,33.30434343
42,250210.4726324025250,3688239.6816488290200,126.3171895952378,33.3043422
43,250210.6109419309650,3688239.5376450568500,126.3171911190473,33.30434093
44,250210.7399264591220,3688239.3881585784300,126.3171925443168,33.30433962
45,250210.8734663904170,3688239.2401014892400,126.3171940181357,33.30433831
46,250211.0095801535350,3688239.0974240740800,126.3171955179786,33.30433706
47,250211.1549249155790,3688238.9624198135000,126.3171971147938,33.30433588
48,250211.2793920343390,3688238.8111579562600,126.3171984921509,33.30433454
49,250211.4167688158340,3688238.6679030535800,126.3172000056977,33.30433328
50,250211.5410483752780,3688238.5175121184500,126.3172013807859,33.30433196
51,250211.6778276208200,3688238.3747222232600,126.3172028878228,33.3043307
52,250211.8035403173700,3688238.2260741698600,126.3172042777922,33.30432939
53,250211.9269242922600,3688238.0745493359900,126.3172056435546,33.30432806
54,250212.0657199737030,3688237.9308319431700,126.3172071723647,33.30432679
55,250212.1812712282400,3688237.7716549858500,126.3172084563075,33.30432539
56,250212.2921853011060,3688237.6120982859300,126.3172096904761,33.30432397
57,250212.4051679633550,3688237.4525523427900,126.3172109468200,33.30432256
58,250212.5208256820620,3688237.2925303294300,126.3172122320211,33.30432115
59,250212.6332759434880,3688237.1299584815300,126.3172134834614,33.30431971
60,250212.7499566928300,3688236.9768912978500,126.3172147777630,33.30431836
61,250212.8572329593290,3688236.8147632624000,126.3172159735399,33.30431692
62,250212.9758691065940,3688236.6593366121000,126.3172172894441,33.30431555
63,250213.0840021776670,3688236.4965978567500,126.3172184946553,33.30431411
64,250213.1903174353350,3688236.3340168567400,126.3172196802722,33.30431267
65,250213.3014855354260,3688236.1727016279500,126.3172209177198,33.30431124
66,250213.4234690217410,3688236.0225880197300,126.3172222679789,33.30430991
67,250213.5445846258370,3688235.8669755873300,126.3172236105667,33.30430854
68,250213.6644895641070,3688235.7133784750500,126.3172249393935,33.30430718
69,250213.7804578568320,3688235.5532339722900,126.3172262281138,33.30430577
70,250213.9108147605140,3688235.4065446690700,126.3172276672673,33.30430448
71,250214.0269144960910,3688235.2444457481600,126.3172289577864,33.30430304
72,250214.1530037021730,3688235.1001968327900,126.3172303507294,33.30430177
73,250214.2698731945710,3688234.9489718251900,126.3172316463432,33.30430044
74,250214.3962526968970,3688234.7998513071800,126.3172330435733,33.30429912
75,250214.5270638500800,3688234.6532901278700,126.3172344875385,33.30429783
76,250214.6439229777310,3688234.4917555605100,126.3172357861462,33.3042964
77,250214.7731573361670,3688234.3431775402300,126.3172372138538,33.3042951
78,250214.8954764244840,3688234.1923867887800,126.3172385679711,33.30429377
79,250215.0115915455970,3688234.0466523468500,126.3172398541234,33.30429248
80,250215.1337361097100,3688233.8937015556700,126.3172412069586,33.30429113
81,250215.2474088365270,3688233.7399241696100,126.3172424691390,33.30428977
82,250215.3723358636780,3688233.5900237923500,126.3172438508264,33.30428845
83,250215.4851126524730,3688233.4356934945100,126.3172451038405,33.30428708
84,250215.5947694156200,3688233.2706669722700,126.3172463258646,33.30428562
85,250215.7099377361590,3688233.1131978812600,126.3172476051006,33.30428423
86,250215.8246118637030,3688232.9588857772800,126.3172488781251,33.30428287
87,250215.9436079831210,3688232.8014760608800,126.3172501984270,33.30428148
88,250216.0569130569340,3688232.6386753562900,126.3172514591719,33.30428004
89,250216.1689323965110,3688232.4851814261700,126.3172527035478,33.30427868
90,250216.2772480934210,3688232.3255062378000,126.3172539097980,33.30427727
91,250216.3924296883050,3688232.1674528294300,126.3172551893458,33.30427587
92,250216.5119675491580,3688232.0111983786400,126.3172565151315,33.30427449
93,250216.6274856871750,3688231.8537052050200,126.3172577980388,33.3042731
94,250216.7528314400690,3688231.7067157505100,126.3172591836732,33.3042718
95,250216.8738299294200,3688231.5589245176000,126.3172605228001,33.3042705
96,250216.9949264976890,3688231.4191022748100,126.3172618607681,33.30426926
97,250217.1284646968120,3688231.2753001935800,126.3172633333330,33.304268
98,250217.2532848918630,3688231.1246366421700,126.3172647142854,33.30426667
99,250217.3916155532930,3688230.9813714129900,126.3172662380949,33.30426541
100.0000000000000,250217.5262299261810,3688230.8338812473200,126.3172677232363,33.30426412
101.0000000000000,250217.6508090263810,3688230.6867826278300,126.3172691005906,33.30426282
102.0000000000000,250217.7845158100820,3688230.5493967230400,126.3172705731923,33.30426161
103.0000000000000,250217.9258977380810,3688230.4160394826900,126.3172721270307,33.30426044
104.0000000000000,250218.0567748199100,3688230.2771470947200,126.3172735696892,33.30425922
105.0000000000000,250218.1959618373940,3688230.1344346208500,126.3172751025832,33.30425797
106.0000000000000,250218.3377068295370,3688229.9986622869100,126.3172766609687,33.30425678
107.0000000000000,250218.4800447999440,3688229.8665895015000,126.3172782247421,33.30425562
108.0000000000000,250218.6087618433520,3688229.7309147105600,126.3172796433248,33.30425443
109.0000000000000,250218.7494166065000,3688229.5952477394600,126.3172811900082,33.30425324
110.0000000000000,250218.8914068656740,3688229.4660945558000,126.3172827492235,33.30425211
111.0000000000000,250219.0401356881770,3688229.3328364528700,126.3172843818763,33.30425094
112.0000000000000,250219.1889760504120,3688229.1997866057800,126.3172860156634,33.30424978
113.0000000000000,250219.3196971396390,3688229.0730574075200,126.3172874533050,33.30424867
114.0000000000000,250219.4593019079180,3688228.9337497241800,126.3172889897118,33.30424744
115.0000000000000,250219.6002792681100,3688228.7945977174700,126.3172905408160,33.30424622
116.0000000000000,250219.7483509531590,3688228.6604659296600,126.3172921666667,33.30424505
117.0000000000000,250219.8961752702300,3688228.5275965863900,126.3172937895033,33.30424388
118.0000000000000,250220.0473216206300,3688228.3982491688800,126.3172954470218,33.30424275
119.0000000000000,250220.1852835542520,3688228.2706371247800,126.3172969625850,33.30424164
120.0000000000000,250220.3249773921270,3688228.1330174771200,126.3172984994958,33.30424043
121.0000000000000,250220.4704586896400,3688228.0027113626700,126.3173000964864,33.30423929
122.0000000000000,250220.6212566273750,3688227.8741788161000,126.3173017500384,33.30423817
123.0000000000000,250220.7698958273970,3688227.7462830669300,126.3173033802472,33.30423705
124.0000000000000,250220.9193507721640,3688227.6140539264300,126.3173050204080,33.30423589
125.0000000000000,250221.0677719225350,3688227.4814278157400,126.3173066495851,33.30423473
126.0000000000000,250221.2204304284240,3688227.3623045818000,126.3173083205130,33.30423369
127.0000000000000,250221.3669918278460,3688227.2290457114600,126.3173099298250,33.30423253
128.0000000000000,250221.5224274034550,3688227.1070008920500,126.3173116313303,33.30423146
129.0000000000000,250221.6643962984960,3688226.9695343691900,126.3173131926895,33.30423026
130.0000000000000,250221.8067040891030,3688226.8463983847800,126.3173147536443,33.30422918
131.0000000000000,250221.9487432502210,3688226.7094965837900,126.3173163155414,33.30422798
132.0000000000000,250222.0977254422900,3688226.5823227041400,126.3173179492246,33.30422687
133.0000000000000,250222.2376269759260,3688226.4553420785800,126.3173194854231,33.30422576
134.0000000000000,250222.3765104436310,3688226.3245486416900,126.3173210117521,33.30422461
135.0000000000000,250222.5246177978110,3688226.1924687228200,126.3173226374585,33.30422345
136.0000000000000,250222.6641151446090,3688226.0626428653500,126.3173241700519,33.30422232
137.0000000000000,250222.8090560808770,3688225.9292808789800,126.3173257620528,33.30422115
138.0000000000000,250222.9617466205090,3688225.8083009673300,126.3173274339368,33.30422009
139.0000000000000,250223.0990788953200,3688225.6705013220200,126.3173289455102,33.30421888
140.0000000000000,250223.2494586968090,3688225.5418488648700,126.3173305946068,33.30421776
141.0000000000000,250223.3928802751180,3688225.4106112648800,126.3173321698066,33.30421661
142.0000000000000,250223.5467423162770,3688225.2902272641700,126.3173338539097,33.30421556
143.0000000000000,250223.6993237769050,3688225.1759622669800,126.3173355226755,33.30421457
144.0000000000000,250223.8527982419470,3688225.0505072726000,126.3173372040819,33.30421347
145.0000000000000,250223.9935552092210,3688224.9243919923900,126.3173387492228,33.30421237
146.0000000000000,250224.1343504306860,3688224.7982424423100,126.3173402947848,33.30421127
147.0000000000000,250224.2902372803070,3688224.6803326522900,126.3173419999997,33.30421024
148.0000000000000,250224.4424599539780,3688224.5596408816100,126.3173436666669,33.30420919
149.0000000000000,250224.6002628286360,3688224.4383263550700,126.3173453933971,33.30420813
150.0000000000000,250224.7526150357440,3688224.3172508198800,126.3173470615642,33.30420708
151.0000000000000,250224.9008631422180,3688224.1861672587700,126.3173486884110,33.30420593
152.0000000000000,250225.0540192395270,3688224.0788613795300,126.3173503615156,33.304205
153.0000000000000,250225.2015796048800,3688223.9577285153800,126.3173519780964,33.30420394
154.0000000000000,250225.3585144422250,3688223.8355114436700,126.3173536958823,33.30420288
155.0000000000000,250225.5129954516590,3688223.7105025379000,126.3173553879480,33.30420178
156.0000000000000,250225.6599418914120,3688223.5826394786100,126.3173570000000,33.30420067
157.0000000000000,250225.8184973351890,3688223.4633926535000,126.3173587342299,33.30419963
158.0000000000000,250225.9594553319030,3688223.3393524400900,126.3173602809526,33.30419854
159.0000000000000,250226.1065051869950,3688223.2082208073700,126.3173618949814,33.3041974
160.0000000000000,250226.2633836302260,3688223.0900482721600,126.3173636109177,33.30419637
161.0000000000000,250226.4122005749370,3688222.9630151488800,126.3173652428401,33.30419526
162.0000000000000,250226.5714677857460,3688222.8427290092200,126.3173669849668,33.30419421
163.0000000000000,250226.7211551957580,3688222.7179692960400,126.3173686255409,33.30419312
164.0000000000000,250226.8671761130090,3688222.5905325105400,126.3173702275378,33.30419201
165.0000000000000,250227.0188057555640,3688222.4643910708900,126.3173718893454,33.30419091
166.0000000000000,250227.1674630003390,3688222.3456565081200,126.3173735172447,33.30418987
167.0000000000000,250227.3078093777290,3688222.2102174777600,126.3173750605525,33.30418868
168.0000000000000,250227.4538632747710,3688222.0903404848700,126.3173766607818,33.30418764
169.0000000000000,250227.6078523029570,3688221.9705031663200,126.3173783461540,33.30418659
170.0000000000000,250227.7469971434330,3688221.8349219737600,126.3173798766086,33.3041854
171.0000000000000,250227.8886476017940,3688221.7029905505500,126.3173814329808,33.30418425
172.0000000000000,250228.0328490521350,3688221.5658709858600,126.3173830179786,33.30418305
173.0000000000000,250228.1884758550150,3688221.4418572075700,126.3173847222225,33.30418196
174.0000000000000,250228.3352322832210,3688221.3099153959200,126.3173863333331,33.30418081
175.0000000000000,250228.4819989633390,3688221.1784157170900,126.3173879444448,33.30417966
176.0000000000000,250228.6323790377060,3688221.0470533408200,126.3173895943140,33.30417851
177.0000000000000,250228.7781351369340,3688220.9346122704500,126.3173911893424,33.30417753
178.0000000000000,250228.9235852238480,3688220.8018233785400,126.3173927866378,33.30417637
179.0000000000000,250229.0690722812140,3688220.6655932134000,126.3173943852716,33.30417517
180.0000000000000,250229.2220626811610,3688220.5389539701900,126.3173960618159,33.30417407
181.0000000000000,250229.3679495204700,3688220.4064255012200,126.3173976639083,33.30417291
182.0000000000000,250229.5191598248780,3688220.2808785922800,126.3173993209737,33.30417181
183.0000000000000,250229.6597164978730,3688220.1529641714900,126.3174008644490,33.30417069
184.0000000000000,250229.8174617188630,3688220.0313915754700,126.3174025906524,33.30416963
185.0000000000000,250229.9706845058240,3688219.9200779418500,126.3174042654596,33.30416867
186.0000000000000,250230.1211532821760,3688219.7932484587700,126.3174059149916,33.30416756
187.0000000000000,250230.2703128734130,3688219.6709810728200,126.3174075492303,33.30416649
188.0000000000000,250230.4239231678650,3688219.5524238264200,126.3174092301988,33.30416546
189.0000000000000,250230.5734801271750,3688219.4263243516900,126.3174108697395,33.30416436
190.0000000000000,250230.7307389482150,3688219.3080891412700,126.3174125898208,33.30416333
191.0000000000000,250230.8728886884920,3688219.1829320006100,126.3174141496059,33.30416223
192.0000000000000,250231.0216914266930,3688219.0586927821900,126.3174157805562,33.30416115
193.0000000000000,250231.1679460313460,3688218.9314068555800,126.3174173850130,33.30416004
194.0000000000000,250231.3171414287060,3688218.7984253191400,126.3174190225903,33.30415887
195.0000000000000,250231.4606723908210,3688218.6713102730000,126.3174205977905,33.30415776
196.0000000000000,250231.6031018657370,3688218.5364128160300,126.3174221632654,33.30415658
197.0000000000000,250231.7560572482180,3688218.4158818582100,126.3174238377928,33.30415553
198.0000000000000,250231.8982602081960,3688218.2900451091100,126.3174253983476,33.30415443
199.0000000000000,250232.0377573209980,3688218.1654687202600,126.3174269295433,33.30415334
200.0000000000000,250232.1770082287250,3688218.0311563778700,126.3174284607857,33.30415216
201.0000000000000,250232.3163666508910,3688217.9039899809300,126.3174299912193,33.30415104
202.0000000000000,250232.4502638307450,3688217.7662605079800,126.3174314659546,33.30414983
203.0000000000000,250232.5913090366810,3688217.6370554510500,126.3174330150333,33.3041487
204.0000000000000,250232.7362434925450,3688217.5071975751800,126.3174346060302,33.30414757
205.0000000000000,250232.8765748140860,3688217.3721954776000,126.3174361490560,33.30414638
206.0000000000000,250233.0170813220020,3688217.2366837975600,126.3174376941017,33.30414519
207.0000000000000,250233.1534147755010,3688217.1064304173900,126.3174391929061,33.30414405
208.0000000000000,250233.3002070691140,3688216.9744311738800,126.3174408044311,33.3041429
209.0000000000000,250233.4582366270770,3688216.8540952662000,126.3174425334111,33.30414185
210.0000000000000,250233.6002960976030,3688216.7178665478700,126.3174440952378,33.30414066
211.0000000000000,250233.7437404475050,3688216.5991047951400,126.3174456671703,33.30413962
212.0000000000000,250233.8958158805900,3688216.4763490771900,126.3174473328297,33.30413855
213.0000000000000,250234.0377191166620,3688216.3364783036500,126.3174488940723,33.30413732
214.0000000000000,250234.1783232748560,3688216.2041866318300,126.3174504392617,33.30413616
215.0000000000000,250234.3274431698660,3688216.0783183518800,126.3174520740744,33.30413506
216.0000000000000,250234.4677256655700,3688215.9419845133100,126.3174536168884,33.30413387
217.0000000000000,250234.6305190902200,3688215.8304491210700,126.3174553945052,33.3041329
218.0000000000000,250234.7749842456540,3688215.7105092848700,126.3174569777339,33.30413185
219.0000000000000,250234.9254617462570,3688215.5850132084500,126.3174586269988,33.30413076
220.0000000000000,250235.0738503946920,3688215.4533511526000,126.3174602555638,33.3041296
221.0000000000000,250235.2112619675460,3688215.3180791861400,126.3174617674266,33.30412842
222.0000000000000,250235.3233335243130,3688215.1625340953500,126.3174630127956,33.30412704
223.0000000000000,250235.4524292403070,3688215.0146090295200,126.3174644388541,33.30412574
224.0000000000000,250235.5759660955810,3688214.8583451276700,126.3174658075182,33.30412436
225.0000000000000,250235.6986719695260,3688214.7043397529100,126.3174671666670,33.304123
226.0000000000000,250235.8172800888710,3688214.5506546720900,126.3174684820216,33.30412164
227.0000000000000,250235.9099492604140,3688214.3820423898300,126.3174695226338,33.30412015
228.0000000000000,250236.0122790816240,3688214.2153257425000,126.3174706666670,33.30411867
229.0000000000000,250236.0902976788930,3688214.0414576828500,126.3174715517946,33.30411712
230.0000000000000,250236.1711917171770,3688213.8599570035000,126.3174724698740,33.3041155
231.0000000000000,250236.2408628010010,3688213.6782867079600,126.3174732677359,33.30411388
232.0000000000000,250236.3023594504330,3688213.4906497844500,126.3174739793003,33.3041122
233.0000000000000,250236.3559486801090,3688213.2982942876400,126.3174746073861,33.30411048
234.0000000000000,250236.4088488536940,3688213.1096741249800,126.3174752270811,33.3041088
235.0000000000000,250236.4521687256920,3688212.9160128855200,126.3174757458698,33.30410706
236.0000000000000,250236.4767859426210,3688212.7204963569500,126.3174760634922,33.30410531
237.0000000000000,250236.4961761169250,3688212.5253232028400,126.3174763253965,33.30410355
238.0000000000000,250236.5071476572190,3688212.3275658870100,126.3174765000000,33.30410177
239.0000000000000,250236.5183703340000,3688212.1328929392600,126.3174766666670,33.30410002
240.0000000000000,250236.5127659689460,3688211.9339319951800,126.3174766666670,33.30409823
241.0000000000000,250236.5078079703380,3688211.7351159225200,126.3174766666670,33.30409644
242.0000000000000,250236.4715821778800,3688211.5451217289100,126.3174763333330,33.30409471
243.0000000000000,250236.4500597725270,3688211.3508955789700,126.3174761548732,33.30409296
244.0000000000000,250236.3933436146760,3688211.1621088720900,126.3174755984775,33.30409125
245.0000000000000,250236.3216376697520,3688210.9805810265300,126.3174748790053,33.30408959
246.0000000000000,250236.2392842971890,3688210.8049866785300,126.3174740437618,33.30408799
247.0000000000000,250236.1479033271020,3688210.6292077149300,126.3174731120508,33.30408639
248.0000000000000,250236.0537767224010,3688210.4597228346400,126.3174721481540,33.30408484
249.0000000000000,250235.9733166525830,3688210.2819625414000,126.3174713341074,33.30408322
250.0000000000000,250235.8699686973410,3688210.1126906261800,126.3174702718933,33.30408167
251.0000000000000,250235.7873298633200,3688209.9321628864900,126.3174694355357,33.30408002
252.0000000000000,250235.6803515983620,3688209.7658656449100,126.3174683333330,33.3040785
253.0000000000000,250235.5725924969590,3688209.6040260661400,126.3174672218362,33.30407702
254.0000000000000,250235.4958870021510,3688209.4219027981200,126.3174664493580,33.30407536
255.0000000000000,250235.4121001965540,3688209.2458968525800,126.3174655987085,33.30407375
256.0000000000000,250235.3385739034560,3688209.0639864518300,126.3174648592362,33.3040721
257.0000000000000,250235.2542541878060,3688208.8913015732600,126.3174640000000,33.30407052
258.0000000000000,250235.1568005868170,3688208.7279006308000,126.3174630012358,33.30406903
259.0000000000000,250235.1003254448290,3688208.5425249487200,126.3174624458661,33.30406734
260.0000000000000,250235.0654560685790,3688208.3478344958300,126.3174621269845,33.30406558
261.0000000000000,250235.0184694730260,3688208.1585165346100,126.3174616749634,33.30406386
262.0000000000000,250234.9971549574400,3688207.9635101207600,126.3174615000000,33.3040621
263.0000000000000,250234.9914585398800,3688207.7719290633700,126.3174614917035,33.30406037
264.0000000000000,250235.0022851165850,3688207.5734793362200,126.3174616666670,33.30405859
265.0000000000000,250235.0378834289440,3688207.3786802734300,126.3174621010692,33.30405684
266.0000000000000,250235.0899824822260,3688207.1957225520200,126.3174627088149,33.30405521
267.0000000000000,250235.1506812539590,3688207.0137456529800,126.3174634099018,33.30405358
268.0000000000000,250235.2451598022300,3688206.8420567680200,126.3174644708455,33.30405206
269.0000000000000,250235.3710771684120,3688206.6942131007100,126.3174658623858,33.30405075
270.0000000000000,250235.4815142562430,3688206.5376640209000,126.3174670901848,33.30404937
271.0000000000000,250235.6090836244110,3688206.4037017826900,126.3174684969685,33.30404819
272.0000000000000,250235.7566162367290,3688206.2764186142000,126.3174701150961,33.30404708
273.0000000000000,250235.8996552802560,3688206.1520752413200,126.3174716842284,33.30404599
274.0000000000000,250236.0457715688390,3688206.0231267302300,126.3174732874516,33.30404486
275.0000000000000,250236.1929471537290,3688205.8961708373400,126.3174749016843,33.30404375
276.0000000000000,250236.3484342372390,3688205.7761401957800,126.3174766031750,33.30404271
277.0000000000000,250236.5117830663220,3688205.6700249039600,126.3174783853259,33.30404179
278.0000000000000,250236.6681255637080,3688205.5530977752100,126.3174800952382,33.30404077
279.0000000000000,250236.8125492282850,3688205.4161520418700,126.3174816825395,33.30403957
280.0000000000000,250236.9609671671640,3688205.2881355448600,126.3174833103857,33.30403845
281.0000000000000,250237.1162753811220,3688205.1652674810000,126.3174850108517,33.30403738
282.0000000000000,250237.2566137495740,3688205.0316375317100,126.3174865534977,33.30403621
283.0000000000000,250237.4009771382840,3688204.8956972169700,126.3174881400423,33.30403502
284.0000000000000,250237.5413686683160,3688204.7629177207100,126.3174896831875,33.30403385
285.0000000000000,250237.6852863041270,3688204.6326438640300,126.3174912632845,33.30403271
286.0000000000000,250237.8342149404050,3688204.5062272585900,126.3174928962172,33.30403161
287.0000000000000,250237.9745965077600,3688204.3688616938900,126.3174944405028,33.3040304
